brief_id,started_at,ended_at,primary_category_id,secondary_category_id,brand,brand_manager
4406,2017-10-01 21:00:14.376,2017-10-16 13:00:24.348,11,2.0,Mendoza-Bryant,John Stevenson
4571,2017-10-03 03:15:04.644,2017-10-05 13:00:09.471,16,10.0,"Walker, Scott and Wilcox",Jessica Young
4638,2017-10-03 03:00:13.517,2017-11-09 00:21:03.168,7,6.0,Palmer Ltd,Paula Fletcher
4579,2017-10-04 01:30:06.730,2017-10-18 13:00:24.476,16,7.0,"Gregory, Parker and Baker",Sonya Riggs
4663,2017-10-04 06:30:15.977,2018-01-29 02:34:13.262,13,,Davis-Mendez,Christine Rowe
4640,2017-10-05 00:15:12.922,2017-11-08 13:00:04.906,7,,"Moore, Mays and Erickson",Jessica Nixon
4671,2017-10-05 02:00:02.982,2018-01-29 02:35:17.315,11,6.0,Bell Group,Gloria Medina
4641,2017-10-03 05:45:14.782,2017-11-17 02:43:20.190,1,,"Park, Griffin and Gomez",Carla Collins
4686,2017-10-06 05:15:16.016,2018-01-29 02:38:43.653,1,7.0,Miller PLC,Brandon Peters
4706,2017-10-06 05:45:01.862,2017-10-24 06:35:38.408,1,7.0,Wood-Johnson,Jessica Chapman
4739,2017-10-09 06:45:15.975,2017-11-15 05:30:37.574,2,10.0,Fitzgerald and Sons,David Roberts
4806,2017-10-12 02:45:21.208,2017-12-18 06:30:06.947,4,11.0,Fisher and Sons,Justin Richards
4835,2017-10-12 06:30:08.377,2017-11-05 19:53:19.193,8,4.0,Jones LLC,Thomas Bush
4893,2017-10-16 01:30:19.135,2018-02-01 23:54:39.908,2,3.0,Skinner Ltd,Michael Gregory
4787,2017-10-11 04:00:05.656,2017-10-31 22:45:04.661,1,7.0,Parks-Marshall,Jody Coffey
4900,2017-10-16 06:30:12.690,2018-02-01 23:54:59.009,2,10.0,Barry Inc,Tiffany Saunders
4914,2017-10-16 06:30:08.279,2017-10-30 13:00:23.472,3,2.0,Vazquez Group,Abigail Walker
4934,2017-10-16 23:30:19.732,2018-02-01 23:54:33.954,7,,Walker and Sons,Shannon Andrews
4941,2017-10-17 04:30:37.566,2017-10-27 04:44:56.008,2,,"Summers, Watson and Crawford",Randy Peterson
4943,2017-10-17 05:00:15.362,2017-12-31 13:00:30.138,1,8.0,"Welch, Brooks and Hartman",Brian Hunter
4948,2017-10-18 00:30:03.776,2018-01-08 01:42:24.520,11,15.0,Jones-Rodriguez,Sierra Gonzales
4634,2017-10-03 03:15:33.329,2017-10-23 07:38:29.478,15,12.0,Mcdonald-Mcguire,Andrew Smith
4611,2017-10-01 23:00:09.071,2017-10-18 13:00:24.096,6,8.0,Medina-Davidson,Angela Franklin
5011,2017-10-20 04:28:35.490,2017-11-28 23:21:35.473,3,,Smith-Garcia,Diana Garcia
4853,2017-10-13 02:45:12.609,2018-02-01 23:52:22.434,1,,"Phillips, Armstrong and Waters",Dawn Acosta
4780,2017-10-11 04:48:56.790,2017-11-10 04:54:27.458,7,2.0,"King, Mckee and Sanchez",Chris Jimenez
4973,2017-10-18 06:15:13.193,2017-12-25 13:00:23.318,6,,"Torres, Chan and Higgins",Adam Osborn
4974,2017-10-19 00:00:07.935,2017-11-08 03:48:26.101,15,,Phillips-Rivera,Allen Cantu
4922,2017-10-17 21:00:18.400,2017-11-24 00:30:15.977,1,,Campos-Calderon,Kimberly Williams
4985,2017-10-23 04:15:12.649,2017-10-31 04:12:27.311,14,,Berry-Alvarado,Linda Lewis
5126,2017-10-25 02:00:10.707,2018-02-01 23:54:52.199,3,11.0,Jordan-Wood,Amy Duncan
5016,2017-10-25 03:47:03.106,2017-11-24 13:00:04.071,7,8.0,Johnson LLC,James Burgess
5153,2017-10-26 04:15:21.836,2018-02-01 23:52:50.074,3,,Mclaughlin Inc,Theresa Mason
5165,2017-10-26 04:00:07.171,2018-02-01 23:52:53.084,1,,"Barker, Rivera and Wright",Paul Clay
5009,2017-10-20 04:30:18.976,2017-10-31 13:01:08.888,1,8.0,Dickson Group,Mary Sims
5099,2017-10-25 01:00:38.281,2017-11-22 13:00:14.503,3,2.0,"Davenport, Griffin and Shannon",Jeffrey Gibbs
5256,2017-10-31 03:45:16.951,2017-11-14 13:00:07.303,3,,Collier-Stout,Amber Boone
5238,2017-10-31 05:07:35.619,2017-12-07 13:00:21.430,2,7.0,Martin and Sons,Michael Porter
5274,2017-11-01 01:52:04.888,2017-12-15 13:00:30.748,7,3.0,"Dunn, Wilson and Richards",Cheryl Davenport
5191,2017-10-27 06:00:03.801,2017-11-03 13:00:14.908,11,2.0,Smith LLC,Nicholas Ford
5130,2017-11-03 21:00:14.037,2017-11-22 01:05:07.462,5,6.0,Jones PLC,Stanley Walters
5106,2017-10-25 01:15:11.676,2017-11-10 13:00:20.440,1,11.0,Sampson Group,Mrs. Shannon Wong DVM
